OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
ATLAS D R/B,1963-015B,577,R/B,D,US,15/05/1963,AFETR,16/05/1963,88.35,32.54,222,163,,,EA,IMP
SL-7 R/B,1963-050B,708,R/B,D,CIS,13/12/1963,KYMSC,6/03/1964,90.55,49.08,392,211,,,EA,IMP
SL-3 R/B,1964-055B,881,R/B,D,CIS,13/09/1964,TYMSC,27/09/1964,88.68,64.89,232,186,,,EA,IMP
OPS 5023 (1),1965-033A,1330,PAY,D,US,29/04/1965,AFWTR,26/05/1965,91,85,461,181,,,EA,IMP
THOR ABLESTAR DEB,1965-065L,1522,DEB,,US,13/08/1965,AFWTR,,107.96,90.06,1187,1078,0.479,,EA,ORB
COSMOS 90,1965-073E,1588,PAY,,CIS,18/09/1965,TYMSC,,116.64,56.06,1653,1407,0.5559,,EA,ORB
SL-8 DEB,1965-112Q,1937,DEB,D,CIS,28/12/1965,TYMSC,28/10/2000,87.32,55.88,145,139,0.3481,,EA,IMP
OPS 3031 DEB,1966-012F,2027,DEB,D,US,15/02/1966,AFWTR,17/02/1966,89.2,95.9,282,186,,,EA,IMP
DELTA 1 DEB,1966-114D,2619,DEB,D,US,14/12/1966,AFETR,10/01/1967,89.05,33.5,230,225,,,EA,IMP
SL-3 R/B,1967-004B,2648,R/B,D,CIS,19/01/1967,PLMSC,28/01/1967,88.32,64.57,200,182,,,EA,IMP
COSMOS 240,1968-075A,3388,PAY,D,CIS,14/09/1968,TYMSC,21/09/1968,89.22,51.81,278,193,,,EA,IMP
COSMOS 256,1968-106A,3576,PAY,,CIS,30/11/1968,PLMSC,,109.35,74.05,1222,1171,2.8184,,EA,ORB
COSMOS 252 DEB,1968-097AL,3701,DEB,D,CIS,1/11/1968,TYMSC,5/03/2014,88.24,62.66,192,184,0.0449,,EA,IMP
COSMOS 282,1969-044A,3944,PAY,D,CIS,20/05/1969,PLMSC,28/05/1969,89.72,65.41,320,201,,,EA,IMP
